stock_number,gemstone,origin,price,carat,shape,cut,color,clarity,measurements,table,depth,symmetry,polish,girdle,culet,fluorescence,diamond_id
5763178A,"Natural, untreated diamond",Botswana Sort,"$2,470",0.90,Round,Good,F,SI2,5.96mm x 5.91mm x 3.89mm,63.0%,65.5%,Good,Very Good,6.5,Pointed,None,15407676
6450036Y,"Natural, untreated diamond",Botswana Sort,"$2,470",0.90,Round,Very Good,J,VS2,6.04mm x 5.99mm x 3.88mm,59.0%,64.5%,Excellent,Very Good,Slightly Thick - Thick,None,Faint,17667602
6057071A,"Natural, untreated diamond",Botswana Sort,"$2,470",0.90,Round,Very Good,I,SI2,6.00mm x 5.93mm x 3.85mm,57.0%,64.6%,Very Good,Very Good,Thick,None,None,17504118
5073535A,"Natural, untreated diamond",Botswana Sort,"$2,470",0.90,Round,Very Good,H,SI2,6.14mm x 6.09mm x 3.85mm,57.0%,63.0%,Excellent,Excellent,4.5,Pointed,None,15405592
5985294A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Good,H,SI1,5.84mm x 5.79mm x 3.91mm,59.0%,67.3%,Very Good,Excellent,Very Thick,None,None,17750242
5711830A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Very Good,J,SI1,6.02mm x 5.94mm x 3.88mm,57.0%,64.8%,Very Good,Excellent,Medium,None,Medium,17829432
6346568A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Very Good,H,SI2,6.17mm x 6.12mm x 3.81mm,58.0%,62.0%,Very Good,Excellent,Slightly Thick - Thick,None,None,17789488
6429694A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Very Good,J,SI2,6.06mm x 5.99mm x 3.88mm,57.0%,64.3%,Very Good,Excellent,Slightly Thick - Thick,None,None,17172624
6594457A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Very Good,H,SI2,6.05mm x 6.01mm x 3.87mm,56.0%,64.1%,Excellent,Excellent,Medium,None,Faint,17867011
6407287A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Very Good,I,SI2,6.03mm x 5.96mm x 3.86mm,57.0%,64.3%,Very Good,Excellent,Medium - Thick,None,Faint,17172631
5897273A,"Natural, untreated diamond",Botswana Sort,"$2,450",0.90,Round,Very Good,I,SI2,6.09mm x 6.03mm x 3.89mm,55.0%,64.2%,Very Good,Excellent,Slightly Thick - Thick,None,None,17370433
6331153A,"Natural, untreated diamond",Botswana Sort,"$2,480",0.90,Round,Very Good,I,SI2,6.01mm x 5.95mm x 3.88mm,56.0%,64.9%,Very Good,Excellent,Thick,None,None,16553728
6313892Y,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Ideal,I,SI2,6.18mm x 6.12mm x 3.78mm,61.0%,61.5%,Very Good,Excellent,Thin - Slightly Thick,None,Medium,16773939
6324636A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Very Good,J,SI1,6.21mm x 6.17mm x 3.77mm,57.0%,60.9%,Excellent,Excellent,"Slightly Thick - Thick, Faceted",None,Faint,17417854
5563449A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Good,J,VS1,5.88mm x 5.79mm x 3.92mm,55.0%,67.1%,Good,Excellent,Thick - Very Thick(Faceted),None,Faint,15992916
6595670A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Ideal,J,SI2,6.14mm x 6.07mm x 3.85mm,55.0%,63.1%,Very Good,Excellent,Medium - Slightly Thick,None,None,17869025
6214718A,"Natural, untreated diamond",Canada,"$2,490",0.90,Round,Very Good,J,VS1,6.05mm x 5.99mm x 3.90mm,60.0%,64.8%,Very Good,Excellent,Thin - Thick,Pointed,Strong,16476937
6351090A,"Natural, untreated diamond",Botswana Sort,"$2,470",0.90,Round,Good,I,SI1,5.95mm x 5.88mm x 3.92mm,59.0%,66.2%,Very Good,Excellent,Medium - Very Thick,None,None,17317473
6485741A,"Natural, untreated diamond",Botswana Sort,"$2,500",0.90,Round,Very Good,J,SI1,6.09mm x 6.08mm x 3.87mm,60.0%,63.6%,Excellent,Excellent,Slightly Thick - Thick,None,None,17678563
6131154A,"Natural, untreated diamond",Botswana Sort,"$2,500",0.90,Round,Very Good,E,SI2,6.05mm x 6.02mm x 3.89mm,58.0%,64.5%,Excellent,Very Good,"Very Thin - Thick, Faceted",None,Strong,17432526
6316003A,"Natural, untreated diamond",Canada,"$2,480",0.90,Round,Super Ideal,J,SI2,6.17mm x 6.13mm x 3.86mm,58.0%,62.7%,Excellent,Excellent,Medium - Slightly Thick,None,None,17317645
6574647A,"Natural, untreated diamond",Botswana Sort,"$2,500",0.90,Round,Very Good,H,SI2,6.06mm x 5.99mm x 3.86mm,56.0%,64.1%,Very Good,Excellent,Slightly Thick,None,None,17825652
5480563A,"Natural, untreated diamond",Canada,"$2,500",0.90,Round,Very Good,J,SI1,6.09mm x 6.03mm x 3.88mm,56.0%,64.0%,Very Good,Excellent,Slightly Thick,None,Medium,17827959
6467790A,"Natural, untreated diamond",Botswana Sort,"$2,500",0.90,Round,Very Good,J,SI1,6.08mm x 6.01mm x 3.86mm,56.0%,63.9%,Very Good,Excellent,Slightly Thick - Thick,None,Medium,17836830
5607860A,"Natural, untreated diamond",Botswana Sort,"$2,500",0.90,Round,Good,J,VS1,5.91mm x 5.82mm x 3.90mm,61.0%,66.6%,Good,Excellent,Thin - Very Thick(Faceted),None,None,15994122
6024907A,"Natural, untreated diamond",Canada,"$2,500",0.90,Round,Very Good,G,SI2,6.02mm x 5.98mm x 3.89mm,56.0%,64.8%,Excellent,Excellent,Medium,None,None,17829073
6178456AY,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Very Good,G,SI2,6.04mm x 5.98mm x 3.86mm,61.0%,64.3%,Very Good,Very Good,Medium - Thick,None,Faint,17553279
6598097A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Very Good,H,SI2,6.04mm x 5.97mm x 3.84mm,58.0%,64.0%,Very Good,Excellent,Medium - Thick,None,None,17882589
6188571A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Ideal,H,SI2,6.13mm x 6.09mm x 3.87mm,56.0%,63.4%,Very Good,Excellent,Thin - Slightly Thick,None,Strong,17575633
6596616A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Very Good,H,SI2,6.07mm x 5.99mm x 3.83mm,58.0%,63.6%,Very Good,Very Good,Thick,None,17874240
5708836A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Super Ideal,H,SI2,6.16mm x 6.11mm x 3.85mm,59.0%,62.7%,Excellent,Excellent,Thin - Slightly Thick,Pointed,None,17369300
6366158A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Very Good,H,SI2,6.11mm x 6.05mm x 3.84mm,61.0%,63.1%,Good,Excellent,Slightly Thick - Thick,None,None,17317369
5568398A,"Natural, untreated diamond",Canada,"$2,510",0.90,Round,Very Good,I,SI2,6.06mm x 5.98mm x 3.88mm,55.0%,64.4%,Very Good,Excellent,Slightly Thick - Thick,None,None,17640886
6325150A,"Natural, untreated diamond",Botswana Sort,"$2,490",0.90,Round,Very Good,J,VS2,6.08mm x 6.01mm x 3.87mm,58.0%,64.1%,Very Good,Excellent,Slightly Thick - Thick,None,Faint,17317423
6134450A,"Natural, untreated diamond",Botswana Sort,"$2,510",0.90,Round,Good,E,SI2,5.99mm x 5.92mm x 3.95mm,57.0%,66.4%,Very Good,Very Good,Thick - Very Thick,None,Medium,15715902
6347387A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.90,Round,Very Good,I,VS2,6.17mm x 6.11mm x 3.83mm,59.0%,62.4%,Very Good,Excellent,Medium - Slightly Thick,None,None,17684275
6202973A,"Natural, untreated diamond",Canada,"$2,490",0.90,Round,Very Good,I,SI1,6.05mm x 5.99mm x 3.84mm,56.0%,63.8%,Very Good,Excellent,Medium - Thick,None,Faint,17325701
6419504A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.91,Round,Good,H,VS2,5.98mm x 5.94mm x 3.90mm,62.0%,65.4%,Very Good,Excellent,Very Thick,None,Faint,17682011
6009416A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Good,I,SI1,5.95mm x 5.92mm x 3.92mm,53.0%,66.1%,Excellent,Excellent,Thick,None,None,17322432
5529125A,"Natural, untreated diamond",Canada,"$2,530",0.90,Round,Ideal,J,SI2,6.16mm x 6.08mm x 3.87mm,55.0%,63.2%,Very Good,Excellent,Thin,None,Medium,17826000
5781305A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Very Good,J,VS2,6.03mm x 5.93mm x 3.88mm,57.0%,64.9%,Very Good,Excellent,Thick,None,None,14852993
5973008A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Very Good,I,SI1,6.05mm x 6.00mm x 3.87mm,57.0%,64.2%,Excellent,Excellent,Slightly Thick - Thick,None,Faint,14995689
5876491A,"Natural, untreated diamond",Botswana Sort,"$2,530",0.90,Round,Good,I,SI2,6.02mm x 5.99mm x 3.91mm,61.0%,65.1%,Very Good,Very Good,5,Pointed,None,15407613
6191596A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.90,Round,Very Good,J,VS2,6.07mm x 6.00mm x 3.86mm,57.0%,63.9%,Very Good,Excellent,Slightly Thick - Thick,None,None,17326960
6149978A,"Natural, untreated diamond",Botswana Sort,"$2,540",0.90,Round,Ideal,J,VS2,6.16mm x 6.07mm x 3.86mm,55.0%,63.1%,Very Good,Excellent,Medium - Slightly Thick,None,Strong,17370341
6162183A,"Natural, untreated diamond",Botswana Sort,"$2,520",0.90,Round,Very Good,H,SI2,6.04mm x 5.97mm x 3.83mm,57.0%,63.8%,Very Good,Excellent,Medium - Thick,Very Small,None,17805120
6596007A,"Natural, untreated diamond",Botswana Sort,"$2,540",0.90,Round,Very Good,J,VS2,6.09mm x 6.00mm x 3.87mm,56.5%,63.9%,Very Good,Excellent,Medium - Slightly Thick - (Facete,None,None,17864262
6201292Y,"Natural, untreated diamond",Canada,"$2,540",0.90,Round,Good,E,SI2,6.02mm x 5.96mm x 3.87mm,54.0%,64.6%,Very Good,Excellent,Slightly Thick - Thick,None,None,17746633
5073533A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Good,G,SI2,6.05mm x 5.99mm x 3.79mm,62.0%,62.9%,Excellent,Very Good,6,Pointed,None,15410230
4623225A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Good,J,VVS2,5.95mm x 5.90mm x 3.92mm,60.0%,66.1%,Very Good,Excellent,"Thick - Very Thick, Faceted",None,Faint,17435444
6539616A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,J,SI1,6.01mm x 5.98mm x 3.87mm,56.0%,64.5%,Very Good,Very Good,Slightly Thick - Thick,None,Medium,17635799
6305318A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,E,SI2,6.05mm x 6.01mm x 3.82mm,56.0%,63.3%,Excellent,Excellent,Very Thin,None,Strong,16513048
5910735A,"Natural, untreated diamond",Botswana Sort,"$2,550",0.90,Round,Very Good,I,SI1,6.04mm x 6.00mm x 3.88mm,55.0%,64.4%,Excellent,Excellent,Slightly Thick,None,Faint,16513271
6565245A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,H,SI2,6.04mm x 5.96mm x 3.84mm,59.0%,64.0%,Very Good,Very Good,Slightly Thick - Thick,None,17874697
6330083A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,E,SI2,6.09mm x 6.00mm x 3.86mm,55.0%,63.8%,Very Good,Excellent,Slightly Thick - Thick,None,None,16553617
6517163A,"Natural, untreated diamond",Botswana Sort,"$2,560",0.90,Round,Very Good,E,SI2,6.03mm x 5.97mm x 3.90mm,57.0%,64.9%,Very Good,Very Good,Slightly Thick - Thick,None,Medium,17533572
